pdf_url,pdf_status_code,pdf_content_length
https://www.europarl.europa.eu/doceo/document/PV-4-1997-02-17_EN.pdf,200,51064
https://www.europarl.europa.eu/doceo/document/PV-4-1997-02-18_EN.pdf,200,57724
https://www.europarl.europa.eu/doceo/document/PV-4-1997-02-19_EN.pdf,200,51191
https://www.europarl.europa.eu/doceo/document/PV-4-1997-02-20_EN.pdf,200,49995
https://www.europarl.europa.eu/doceo/document/PV-4-1997-02-21_EN.pdf,200,26201
https://www.europarl.europa.eu/doceo/document/PV-4-1997-03-10_EN.pdf,200,89825
https://www.europarl.europa.eu/doceo/document/PV-4-1997-03-11_EN.pdf,200,57419
https://www.europarl.europa.eu/doceo/document/PV-4-1997-03-12_EN.pdf,200,48815
https://www.europarl.europa.eu/doceo/document/PV-4-1997-03-13_EN.pdf,200,66665
https://www.europarl.europa.eu/doceo/document/PV-4-1997-03-14_EN.pdf,200,25978
https://www.europarl.europa.eu/doceo/document/PV-4-1997-04-07_EN.pdf,200,101614
https://www.europarl.europa.eu/doceo/document/PV-4-1997-04-08_EN.pdf,200,56661
https://www.europarl.europa.eu/doceo/document/PV-4-1997-04-09_EN.pdf,200,43193
https://www.europarl.europa.eu/doceo/document/PV-4-1997-04-10_EN.pdf,200,57705
https://www.europarl.europa.eu/doceo/document/PV-4-1997-04-11_EN.pdf,200,26458
https://www.europarl.europa.eu/doceo/document/PV-4-1997-04-23_EN.pdf,200,39107
https://www.europarl.europa.eu/doceo/document/PV-4-1997-04-24_EN.pdf,200,39888
https://www.europarl.europa.eu/doceo/document/PV-4-1997-05-12_EN.pdf,200,39692
https://www.europarl.europa.eu/doceo/document/PV-4-1997-05-13_EN.pdf,200,97160
https://www.europarl.europa.eu/doceo/document/PV-4-1997-05-14_EN.pdf,200,48360
https://www.europarl.europa.eu/doceo/document/PV-4-1997-05-15_EN.pdf,200,91037
https://www.europarl.europa.eu/doceo/document/PV-4-1997-05-16_EN.pdf,200,33307
https://www.europarl.europa.eu/doceo/document/PV-4-1997-05-28_EN.pdf,200,34926
https://www.europarl.europa.eu/doceo/document/PV-4-1997-05-29_EN.pdf,200,39143
https://www.europarl.europa.eu/doceo/document/PV-4-1997-06-09_EN.pdf,200,46910
https://www.europarl.europa.eu/doceo/document/PV-4-1997-06-10_EN.pdf,200,63903
https://www.europarl.europa.eu/doceo/document/PV-4-1997-06-11_EN.pdf,200,41158
https://www.europarl.europa.eu/doceo/document/PV-4-1997-06-12_EN.pdf,200,68539
https://www.europarl.europa.eu/doceo/document/PV-4-1997-06-13_EN.pdf,200,39309
https://www.europarl.europa.eu/doceo/document/PV-4-1997-06-25_EN.pdf,200,36318
https://www.europarl.europa.eu/doceo/document/PV-4-1997-06-26_EN.pdf,200,32790
https://www.europarl.europa.eu/doceo/document/PV-4-1997-07-14_EN.pdf,200,61656
https://www.europarl.europa.eu/doceo/document/PV-4-1997-07-15_EN.pdf,200,64671
https://www.europarl.europa.eu/doceo/document/PV-4-1997-07-16_EN.pdf,200,57077
https://www.europarl.europa.eu/doceo/document/PV-4-1997-07-17_EN.pdf,200,64260
https://www.europarl.europa.eu/doceo/document/PV-4-1997-07-18_EN.pdf,200,38827
https://www.europarl.europa.eu/doceo/document/PV-4-1997-09-15_EN.pdf,200,75751
https://www.europarl.europa.eu/doceo/document/PV-4-1997-09-16_EN.pdf,200,52059
https://www.europarl.europa.eu/doceo/document/PV-4-1997-09-17_EN.pdf,200,33856
https://www.europarl.europa.eu/doceo/document/PV-4-1997-09-18_EN.pdf,200,57951
https://www.europarl.europa.eu/doceo/document/PV-4-1997-09-19_EN.pdf,200,23449
https://www.europarl.europa.eu/doceo/document/PV-4-1997-10-01_EN.pdf,200,32047
https://www.europarl.europa.eu/doceo/document/PV-4-1997-10-02_EN.pdf,200,29827
https://www.europarl.europa.eu/doceo/document/PV-4-1997-10-20_EN.pdf,200,64278
https://www.europarl.europa.eu/doceo/document/PV-4-1997-10-21_EN.pdf,200,46518
https://www.europarl.europa.eu/doceo/document/PV-4-1997-10-22_EN.pdf,200,43868
https://www.europarl.europa.eu/doceo/document/PV-4-1997-10-23_EN.pdf,200,70012
https://www.europarl.europa.eu/doceo/document/PV-4-1997-10-24_EN.pdf,200,26554
https://www.europarl.europa.eu/doceo/document/PV-4-1997-11-05_EN.pdf,200,35098
https://www.europarl.europa.eu/doceo/document/PV-4-1997-11-06_EN.pdf,200,39167
https://www.europarl.europa.eu/doceo/document/PV-4-1997-11-17_EN.pdf,200,39327
https://www.europarl.europa.eu/doceo/document/PV-4-1997-11-18_EN.pdf,200,55568
https://www.europarl.europa.eu/doceo/document/PV-4-1997-11-19_EN.pdf,200,70093
https://www.europarl.europa.eu/doceo/document/PV-4-1997-11-20_EN.pdf,200,50968
https://www.europarl.europa.eu/doceo/document/PV-4-1997-11-21_EN.pdf,200,35879
https://www.europarl.europa.eu/doceo/document/PV-4-1997-12-03_EN.pdf,200,30229
https://www.europarl.europa.eu/doceo/document/PV-4-1997-12-04_EN.pdf,200,34262
https://www.europarl.europa.eu/doceo/document/PV-4-1997-12-15_EN.pdf,200,53427
https://www.europarl.europa.eu/doceo/document/PV-4-1997-12-16_EN.pdf,200,61239
https://www.europarl.europa.eu/doceo/document/PV-4-1997-12-17_EN.pdf,200,44671
https://www.europarl.europa.eu/doceo/document/PV-4-1997-12-18_EN.pdf,200,65297
https://www.europarl.europa.eu/doceo/document/PV-4-1997-12-19_EN.pdf,200,25998
https://www.europarl.europa.eu/doceo/document/PV-4-1998-01-12_EN.pdf,200,39277
https://www.europarl.europa.eu/doceo/document/PV-4-1998-01-13_EN.pdf,200,44545
https://www.europarl.europa.eu/doceo/document/PV-4-1998-01-14_EN.pdf,200,38553
https://www.europarl.europa.eu/doceo/document/PV-4-1998-01-15_EN.pdf,200,45655
https://www.europarl.europa.eu/doceo/document/PV-4-1998-01-16_EN.pdf,200,27171
https://www.europarl.europa.eu/doceo/document/PV-4-1998-01-28_EN.pdf,200,38085
https://www.europarl.europa.eu/doceo/document/PV-4-1998-01-29_EN.pdf,200,30175
https://www.europarl.europa.eu/doceo/document/PV-4-1998-02-16_EN.pdf,200,90651
https://www.europarl.europa.eu/doceo/document/PV-4-1998-02-17_EN.pdf,200,63965
https://www.europarl.europa.eu/doceo/document/PV-4-1998-02-18_EN.pdf,200,58724
https://www.europarl.europa.eu/doceo/document/PV-4-1998-02-19_EN.pdf,200,65784
https://www.europarl.europa.eu/doceo/document/PV-4-1998-02-20_EN.pdf,200,32885
https://www.europarl.europa.eu/doceo/document/PV-4-1998-03-09_EN.pdf,200,50102
https://www.europarl.europa.eu/doceo/document/PV-4-1998-03-10_EN.pdf,200,63257
https://www.europarl.europa.eu/doceo/document/PV-4-1998-03-11_EN.pdf,200,64402
https://www.europarl.europa.eu/doceo/document/PV-4-1998-03-12_EN.pdf,200,47741
https://www.europarl.europa.eu/doceo/document/PV-4-1998-03-13_EN.pdf,200,39408
https://www.europarl.europa.eu/doceo/document/PV-4-1998-03-30_EN.pdf,200,48376
https://www.europarl.europa.eu/doceo/document/PV-4-1998-03-31_EN.pdf,200,50935
https://www.europarl.europa.eu/doceo/document/PV-4-1998-04-01_EN.pdf,200,49731
https://www.europarl.europa.eu/doceo/document/PV-4-1998-04-02_EN.pdf,200,56438
https://www.europarl.europa.eu/doceo/document/PV-4-1998-04-03_EN.pdf,200,33238
https://www.europarl.europa.eu/doceo/document/PV-4-1998-04-29_EN.pdf,200,54002
https://www.europarl.europa.eu/doceo/document/PV-4-1998-04-30_EN.pdf,200,39422
https://www.europarl.europa.eu/doceo/document/PV-4-1998-05-02_EN.pdf,200,13042
https://www.europarl.europa.eu/doceo/document/PV-4-1998-05-11_EN.pdf,200,42872
https://www.europarl.europa.eu/doceo/document/PV-4-1998-05-12_EN.pdf,200,63943
https://www.europarl.europa.eu/doceo/document/PV-4-1998-05-13_EN.pdf,200,61191
https://www.europarl.europa.eu/doceo/document/PV-4-1998-05-14_EN.pdf,200,56763
https://www.europarl.europa.eu/doceo/document/PV-4-1998-05-15_EN.pdf,200,28539
https://www.europarl.europa.eu/doceo/document/PV-4-1998-05-27_EN.pdf,200,35073
https://www.europarl.europa.eu/doceo/document/PV-4-1998-05-28_EN.pdf,200,39830
https://www.europarl.europa.eu/doceo/document/PV-4-1998-06-15_EN.pdf,200,65113
https://www.europarl.europa.eu/doceo/document/PV-4-1998-06-16_EN.pdf,200,62054
https://www.europarl.europa.eu/doceo/document/PV-4-1998-06-17_EN.pdf,200,48733
https://www.europarl.europa.eu/doceo/document/PV-4-1998-06-18_EN.pdf,200,65417
https://www.europarl.europa.eu/doceo/document/PV-4-1998-06-19_EN.pdf,200,51192
https://www.europarl.europa.eu/doceo/document/PV-4-1998-07-01_EN.pdf,200,36138
https://www.europarl.europa.eu/doceo/document/PV-4-1998-07-02_EN.pdf,200,31250
https://www.europarl.europa.eu/doceo/document/PV-4-1998-07-13_EN.pdf,200,86819
https://www.europarl.europa.eu/doceo/document/PV-4-1998-07-14_EN.pdf,200,52768
https://www.europarl.europa.eu/doceo/document/PV-4-1998-07-15_EN.pdf,200,49153
https://www.europarl.europa.eu/doceo/document/PV-4-1998-07-16_EN.pdf,200,57382
https://www.europarl.europa.eu/doceo/document/PV-4-1998-07-17_EN.pdf,200,33317
https://www.europarl.europa.eu/doceo/document/PV-4-1998-09-14_EN.pdf,200,67877
https://www.europarl.europa.eu/doceo/document/PV-4-1998-09-15_EN.pdf,200,50245
https://www.europarl.europa.eu/doceo/document/PV-4-1998-09-16_EN.pdf,200,60715
https://www.europarl.europa.eu/doceo/document/PV-4-1998-09-17_EN.pdf,200,64146
https://www.europarl.europa.eu/doceo/document/PV-4-1998-09-18_EN.pdf,200,27385
https://www.europarl.europa.eu/doceo/document/PV-4-1998-10-05_EN.pdf,200,46341
https://www.europarl.europa.eu/doceo/document/PV-4-1998-10-06_EN.pdf,200,52072
https://www.europarl.europa.eu/doceo/document/PV-4-1998-10-07_EN.pdf,200,46062
https://www.europarl.europa.eu/doceo/document/PV-4-1998-10-08_EN.pdf,200,47047
https://www.europarl.europa.eu/doceo/document/PV-4-1998-10-09_EN.pdf,200,33899
https://www.europarl.europa.eu/doceo/document/PV-4-1998-10-19_EN.pdf,200,30721
https://www.europarl.europa.eu/doceo/document/PV-4-1998-10-20_EN.pdf,200,34503
https://www.europarl.europa.eu/doceo/document/PV-4-1998-10-21_EN.pdf,200,31971
