date,pdf_url,pdf_status_code,pdf_content_length,html_url,html_status_code,html_content_length
1996-05-21,https://europarl.europa.eu/doceo/document/PV-4-1996-05-21_EN.pdf,200,48791,https://europarl.europa.eu/doceo/document/PV-4-1996-05-21_EN.html,200,0
1996-05-22,https://europarl.europa.eu/doceo/document/PV-4-1996-05-22_EN.pdf,200,46469,https://europarl.europa.eu/doceo/document/PV-4-1996-05-22_EN.html,200,0
1996-05-23,https://europarl.europa.eu/doceo/document/PV-4-1996-05-23_EN.pdf,200,55456,https://europarl.europa.eu/doceo/document/PV-4-1996-05-23_EN.html,200,0
1996-05-24,https://europarl.europa.eu/doceo/document/PV-4-1996-05-24_EN.pdf,200,31452,https://europarl.europa.eu/doceo/document/PV-4-1996-05-24_EN.html,200,0
1996-06-05,https://europarl.europa.eu/doceo/document/PV-4-1996-06-05_EN.pdf,200,39040,https://europarl.europa.eu/doceo/document/PV-4-1996-06-05_EN.html,200,0
1996-06-06,https://europarl.europa.eu/doceo/document/PV-4-1996-06-06_EN.pdf,200,70905,https://europarl.europa.eu/doceo/document/PV-4-1996-06-06_EN.html,200,0
1996-06-17,https://europarl.europa.eu/doceo/document/PV-4-1996-06-17_EN.pdf,200,49544,https://europarl.europa.eu/doceo/document/PV-4-1996-06-17_EN.html,200,0
1996-06-18,https://europarl.europa.eu/doceo/document/PV-4-1996-06-18_EN.pdf,200,62103,https://europarl.europa.eu/doceo/document/PV-4-1996-06-18_EN.html,200,0
1996-06-19,https://europarl.europa.eu/doceo/document/PV-4-1996-06-19_EN.pdf,200,55916,https://europarl.europa.eu/doceo/document/PV-4-1996-06-19_EN.html,200,0
1996-06-20,https://europarl.europa.eu/doceo/document/PV-4-1996-06-20_EN.pdf,200,99779,https://europarl.europa.eu/doceo/document/PV-4-1996-06-20_EN.html,200,0
1996-06-21,https://europarl.europa.eu/doceo/document/PV-4-1996-06-21_EN.pdf,200,35724,https://europarl.europa.eu/doceo/document/PV-4-1996-06-21_EN.html,200,0
1996-07-03,https://europarl.europa.eu/doceo/document/PV-4-1996-07-03_EN.pdf,200,39034,https://europarl.europa.eu/doceo/document/PV-4-1996-07-03_EN.html,200,0
1996-07-04,https://europarl.europa.eu/doceo/document/PV-4-1996-07-04_EN.pdf,200,27982,https://europarl.europa.eu/doceo/document/PV-4-1996-07-04_EN.html,200,0
1996-07-15,https://europarl.europa.eu/doceo/document/PV-4-1996-07-15_EN.pdf,200,47815,https://europarl.europa.eu/doceo/document/PV-4-1996-07-15_EN.html,200,0
1996-07-16,https://europarl.europa.eu/doceo/document/PV-4-1996-07-16_EN.pdf,200,103279,https://europarl.europa.eu/doceo/document/PV-4-1996-07-16_EN.html,200,0
1996-07-17,https://europarl.europa.eu/doceo/document/PV-4-1996-07-17_EN.pdf,200,95405,https://europarl.europa.eu/doceo/document/PV-4-1996-07-17_EN.html,200,0
1996-07-18,https://europarl.europa.eu/doceo/document/PV-4-1996-07-18_EN.pdf,200,102545,https://europarl.europa.eu/doceo/document/PV-4-1996-07-18_EN.html,200,0
1996-07-19,https://europarl.europa.eu/doceo/document/PV-4-1996-07-19_EN.pdf,200,29068,https://europarl.europa.eu/doceo/document/PV-4-1996-07-19_EN.html,200,0
1996-09-04,https://europarl.europa.eu/doceo/document/PV-4-1996-09-04_EN.pdf,200,40049,https://europarl.europa.eu/doceo/document/PV-4-1996-09-04_EN.html,200,0
1996-09-05,https://europarl.europa.eu/doceo/document/PV-4-1996-09-05_EN.pdf,200,23116,https://europarl.europa.eu/doceo/document/PV-4-1996-09-05_EN.html,200,0
1996-09-16,https://europarl.europa.eu/doceo/document/PV-4-1996-09-16_EN.pdf,200,50648,https://europarl.europa.eu/doceo/document/PV-4-1996-09-16_EN.html,200,0
1996-09-17,https://europarl.europa.eu/doceo/document/PV-4-1996-09-17_EN.pdf,200,67542,https://europarl.europa.eu/doceo/document/PV-4-1996-09-17_EN.html,200,0
1996-09-18,https://europarl.europa.eu/doceo/document/PV-4-1996-09-18_EN.pdf,200,93549,https://europarl.europa.eu/doceo/document/PV-4-1996-09-18_EN.html,200,0
1996-09-19,https://europarl.europa.eu/doceo/document/PV-4-1996-09-19_EN.pdf,200,60094,https://europarl.europa.eu/doceo/document/PV-4-1996-09-19_EN.html,200,0
